price,bedrooms,bathrooms,constructedarea,zipcode,yearbuilt,lotareasqft,avgschoolrating,avgschooldist,crimepercentage
750000,3,2,1700.0,77087,1936,15002.063999999998,5.333333333333333,2.233333333333333,1.202097796
288990,3,2,1600.0,77365,2023,7775.7013398033405,7.333333333333333,2.433333333333333,0.072682959
298990,3,2,1792.0,77365,2023,7775.7013398033405,7.333333333333333,2.433333333333333,0.072682959
313990,3,2,1880.0,77365,2023,7775.7013398033405,7.333333333333333,2.433333333333333,0.072682959
345990,3,3,2539.0,77365,2023,7775.7013398033405,7.333333333333333,2.433333333333333,0.072682959
356990,4,3,2410.0,77365,2023,7775.7013398033405,7.333333333333333,2.433333333333333,0.072682959
311990,4,2,1908.0,77365,2023,7775.7013398033405,7.333333333333333,2.433333333333333,0.072682959
449900,3,4,1898.0,77004,2022,1616.0,3.0,1.3333333333333333,2.457728549
669900,3,3,2312.0,77006,2023,2275.0,999.0,999.0,1.434509172
290990,4,3,2260.0,77017,2022,7775.7013398033405,3.0,1.4333333333333333,1.199921659
244990,3,2,1200.0,77017,2022,7775.7013398033405,3.0,1.4333333333333333,1.199921659
326000,3,2,1682.0,77088,2022,17785.548,999.0,999.0,1.378364851
569490,4,4,3162.0,77089,2023,9133.0,6.0,1.8333333333333333,0.858703458
529490,4,4,2848.0,77089,2023,8840.0,6.0,1.8333333333333333,0.858703458
354999,3,3,1665.0,77026,2022,2600.0,3.0,1.4333333333333336,1.58945009
343900,3,3,1611.0,77026,2022,2142.0,3.0,1.4000000000000001,1.58945009
899900,4,4,3000.0,77009,2023,5000.0,5.333333333333333,0.7333333333333334,1.501534176
296990,4,3,1814.0,77034,2022,7775.7013398033405,6.0,1.8999999999999997,1.451483037
278990,3,2,1512.0,77034,2022,7775.7013398033405,6.0,1.8999999999999997,1.451483037
399000,3,3,1751.0,77018,2023,1912.284,999.0,999.0,0.95010119
715000,4,3,3109.0,77365,2022,8125.0,7.333333333333333,2.4,0.072682959
504074,4,4,2698.0,77365,2022,7775.7013398033405,7.333333333333333,2.4,0.072682959
749990,4,4,2959.0,77008,2022,5998.212,5.0,0.7666666666666666,1.325702348
304999,3,3,1564.0,77022,2022,1680.0,4.0,0.5666666666666668,1.847975105
282990,3,2,1402.0,77049,2022,7775.7013398033405,4.666666666666667,1.2666666666666668,0.070506822
510200,4,4,2667.0,77089,2023,10823.0,6.0,1.8333333333333333,0.858703458
469000,3,4,1949.0,77003,2022,1603.008,3.3333333333333335,0.8666666666666667,1.130285291
449990,3,3,1950.0,77018,2022,7775.7013398033405,4.0,0.5333333333333333,0.95010119
380000,3,3,1780.0,77021,2022,3888.0,2.3333333333333335,1.0999999999999999,1.996822841
380000,3,3,1780.0,77021,2022,3888.0,2.3333333333333335,1.0999999999999999,1.996822841
380000,3,3,1780.0,77021,2022,3888.0,2.3333333333333335,1.0999999999999999,1.996822841
380000,3,3,1780.0,77021,2022,3888.0,2.3333333333333335,1.0999999999999999,1.996822841
250000,3,2,1682.0,77365,2022,7775.7013398033405,7.333333333333333,2.4,0.072682959
339900,3,3,1730.0,77088,2022,5998.212,999.0,999.0,1.378364851
339900,3,3,1730.0,77088,2022,5998.212,999.0,999.0,1.378364851
339900,3,3,1730.0,77088,2022,3001.284,3.3333333333333335,0.5,1.378364851
459000,3,4,2051.0,77055,2022,7775.7013398033405,999.0,999.0,1.539834178
