Price,Bedrooms,Bathrooms,constructedArea,zipCode,yearBuilt,lotAreaSQFT,avgSchoolRating,avgSchoolDist
349999,3.0,2,1550.0,77011,1936.0,5000.688,4.0,0.7333333333333334
349999,4.0,3,2056.0,77011,1930.0,5000.688,4.0,0.8333333333333334
240000,2.0,1,642.0,77011,1930.0,5000.688,2.6666666666666665,0.9666666666666668
236000,2.0,1,1487.0,77011,1950.0,5000.688,4.0,1.1333333333333333
459000,1.0,2,1181.0,77008,1930.0,5000.688,4.666666666666667,0.7000000000000001
510000,3.0,4,2535.0,77004,1997.0,2619.0,4.0,1.8666666666666665
389990,3.0,4,1794.0,77021,2022.0,12000.78,2.333333333333333,1.0666666666666669
725000,3.0,2,2509.0,77018,1959.0,18695.952,5.666666666666667,0.9333333333333332
799900,4.0,4,3009.0,77006,2022.0,3000.0,6.333333333333333,0.9
671800,3.0,2,1210.0,77007,1920.0,9448.164,6.333333333333333,0.5666666666666668
700000,4.0,1,1354.0,77007,1910.0,6751.8,6.333333333333333,0.5666666666666668
833400,3.0,2,1319.0,77009,1945.0,13399.99998876,5.333333333333333,1.0
514091,5.0,3,2104.0,77009,1956.0,16548.444,4.333333333333333,1.0666666666666669
215000,5.0,4,1776.0,77026,1932.0,5000.688,2.333333333333333,0.5666666666666667
649000,4.0,2,2962.0,77021,1950.0,13124.628,2.6666666666666665,1.1333333333333333
799000,3.0,3,3052.0,77024,1944.0,16901.28,6.333333333333333,1.0666666666666669
434900,3.0,4,1951.0,77018,2022.0,1980.0,4.333333333333333,1.1333333333333335
320000,2.0,1,841.0,77022,1927.0,29986.704,4.0,0.9
335000,3.0,1,1783.0,77086,1950.0,21780.0,3.6666666666666665,2.033333333333333
775000,4.0,2,2900.0,77086,1970.0,43546.932,3.6666666666666665,2.1
850000,4.0,4,3117.0,77044,1995.0,60334.956,4.0,3.5666666666666664
329999,2.0,1,1644.0,77093,2022.0,23448.348,3.6666666666666665,1.6666666666666667
359999,4.0,4,2858.0,77345,2001.0,6973.956,7.333333333333333,1.8333333333333333
398000,3.0,2,1857.0,77069,2022.0,7736.256,5.333333333333333,2.3000000000000003
729999,4.0,2,1732.0,77070,1978.0,150369.12,6.333333333333333,1.0333333333333332
320000,4.0,3,1320.0,77093,1945.0,16879.5,2.333333333333333,0.9
275000,3.0,1,2275.0,77075,1947.0,22598.928,3.333333333333333,2.2
237500,2.0,1,1260.0,77049,1976.0,24829.2,4.0,3.0
450000,3.0,2,1439.0,77004,1929.0,5000.0,4.0,1.9666666666666668
450000,3.0,1,1136.0,77004,1929.0,5000.0,4.0,1.9666666666666668
529900,3.0,3,2208.0,77336,1973.0,117612.0,4.666666666666667,3.6666666666666665
219900,2.0,1,780.0,77022,1947.0,5950.296,4.666666666666667,0.7999999999999999
255000,3.0,1,1368.0,77022,1950.0,7740.612,4.0,0.6
260000,2.0,2,1500.0,77026,1940.0,5000.688,3.0,0.5666666666666667
354900,3.0,4,2158.627875809694,77051,2022.0,5000.688,2.6666666666666665,0.7000000000000001
385000,6.0,3,2244.0,77051,1945.0,5000.688,2.6666666666666665,0.7000000000000001
240000,2.0,1,988.0,77020,1928.0,4499.748,4.0,1.1333333333333333
649999,3.0,4,2870.0,77007,2006.0,2813.976,6.333333333333333,1.6
499000,3.0,3,1978.0,77018,2022.0,5998.212,3.333333333333333,1.0666666666666669
549900,3.0,1,1332.0,77009,1920.0,7501.032,6.0,0.7999999999999999
599900,3.0,3,2502.0,77009,2022.0,2500.0,6.0,0.8333333333333334
260000,3.0,1,1104.0,77020,1940.0,5000.688,4.0,0.6999999999999998
290000,2.0,2,1280.0,77020,2013.0,3079.692,4.0,0.6
500000,4.0,3,1960.0,77009,1930.0,5000.688,6.333333333333333,0.7000000000000001
699000,4.0,4,2601.0,77019,1938.0,4500.0,999.0,999.0
724900,3.0,4,2768.0,77006,2022.0,7775.7013398033405,999.0,999.0
774900,3.0,4,2984.0,77006,2021.0,1800.0,999.0,999.0
